nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
1,,physician-fee-freeze,,democrat,1,"{'y': np.int64(2), 'n': np.int64(3), '?': np.int64(4)}",True,False,,['physician-fee-freeze']
2,1,synfuels-corporation-cutback,,republican,2,"{'?': np.int64(5), 'n': np.int64(6), 'y': np.int64(7)}",False,False,`physician-fee-freeze`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback']"
3,1,adoption-of-the-budget-resolution,,democrat,2,"{'n': np.int64(8), 'y': np.int64(9), '?': np.int64(10)}",False,False,`physician-fee-freeze`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution']"
4,1,handicapped-infants,,democrat,2,"{'n': np.int64(11), '?': np.int64(12), 'y': np.int64(13)}",False,False,`physician-fee-freeze`=='?',"['physician-fee-freeze', 'handicapped-infants']"
5,2,aid-to-nicaraguan-contras,,republican,3,"{'?': np.int64(14), 'y': np.int64(15)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'aid-to-nicaraguan-contras']"
6,2,mx-missile,,republican,3,"{'n': np.int64(16), 'y': np.int64(17), '?': np.int64(18)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile']"
7,2,immigration,,republican,3,"{'y': np.int64(19), 'n': np.int64(20)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration']"
8,3,religious-groups-in-schools,,democrat,3,"{'n': np.int64(21), 'y': np.int64(22)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools']"
9,3,mx-missile,,democrat,3,"{'y': np.int64(23), 'n': np.int64(24), '?': np.int64(25)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile']"
10,3,,,democrat,3,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution']"
11,4,,,republican,3,,False,True,`physician-fee-freeze`=='?' & `handicapped-infants`=='n',"['physician-fee-freeze', 'handicapped-infants']"
12,4,mx-missile,,democrat,3,"{'n': np.int64(26), 'y': np.int64(27)}",False,False,`physician-fee-freeze`=='?' & `handicapped-infants`=='?',"['physician-fee-freeze', 'handicapped-infants', 'mx-missile']"
13,4,,,democrat,3,,False,True,`physician-fee-freeze`=='?' & `handicapped-infants`=='y',"['physician-fee-freeze', 'handicapped-infants']"
14,5,anti-satellite-test-ban,,republican,4,"{'?': np.int64(28), 'n': np.int64(29)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?' & `aid-to-nicaraguan-contras`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'aid-to-nicaraguan-contras', 'anti-satellite-test-ban']"
15,5,,,republican,4,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'aid-to-nicaraguan-contras']"
16,6,export-administration-act-south-africa,,republican,4,"{'n': np.int64(30), 'y': np.int64(31), '?': np.int64(32)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa']"
17,6,aid-to-nicaraguan-contras,,republican,4,"{'y': np.int64(33), 'n': np.int64(34)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'aid-to-nicaraguan-contras']"
18,6,,,republican,4,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile']"
19,7,mx-missile,,republican,4,"{'n': np.int64(35), 'y': np.int64(36)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile']"
20,7,mx-missile,,democrat,4,"{'n': np.int64(37), 'y': np.int64(38)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile']"
21,8,,,republican,4,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools']"
22,8,mx-missile,,democrat,4,"{'n': np.int64(39), 'y': np.int64(40), '?': np.int64(41)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile']"
23,9,export-administration-act-south-africa,,democrat,4,"{'?': np.int64(42), 'y': np.int64(43)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa']"
24,9,export-administration-act-south-africa,,democrat,4,"{'?': np.int64(44), 'y': np.int64(45)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa']"
25,9,export-administration-act-south-africa,,democrat,4,"{'?': np.int64(46), 'y': np.int64(47)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa']"
26,12,,,democrat,4,,False,True,`physician-fee-freeze`=='?' & `handicapped-infants`=='?' & `mx-missile`=='n',"['physician-fee-freeze', 'handicapped-infants', 'mx-missile']"
27,12,aid-to-nicaraguan-contras,,democrat,4,"{'?': np.int64(48), 'y': np.int64(49)}",False,False,`physician-fee-freeze`=='?' & `handicapped-infants`=='?' & `mx-missile`=='y',"['physician-fee-freeze', 'handicapped-infants', 'mx-missile', 'aid-to-nicaraguan-contras']"
28,14,,,republican,5,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?' & `aid-to-nicaraguan-contras`=='?' & `anti-satellite-test-ban`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'aid-to-nicaraguan-contras', 'anti-satellite-test-ban']"
