nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,physician-fee-freeze,,democrat,1,"{'?': np.int64(2), 'y': np.int64(3), 'n': np.int64(4)}",True,False,,['physician-fee-freeze'],
2,1.0,mx-missile,,democrat,2,"{'?': np.int64(5), 'n': np.int64(6), 'y': np.int64(7)}",False,True,`physician-fee-freeze`=='?',"['physician-fee-freeze', 'mx-missile']",
3,1.0,synfuels-corporation-cutback,,republican,2,"{'n': np.int64(8), 'y': np.int64(9), '?': np.int64(10)}",False,False,`physician-fee-freeze`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback']",
4,1.0,adoption-of-the-budget-resolution,,democrat,2,"{'n': np.int64(11), 'y': np.int64(12), '?': np.int64(13)}",False,True,`physician-fee-freeze`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution']",
8,3.0,mx-missile,,republican,3,"{'n': np.int64(16), 'y': np.int64(17), '?': np.int64(18)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile']",
9,3.0,immigration,,republican,3,"{'y': np.int64(19), 'n': np.int64(20)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration']",
10,3.0,anti-satellite-test-ban,,republican,3,"{'?': np.int64(21), 'n': np.int64(22)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'anti-satellite-test-ban']",
19,9.0,mx-missile,,republican,4,"{'y': np.int64(35), 'n': np.int64(36)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile']",
20,9.0,aid-to-nicaraguan-contras,,democrat,4,"{'?': np.int64(37), 'n': np.int64(38)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras']",
37,20.0,,,republican,5,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `aid-to-nicaraguan-contras`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras']",
38,20.0,handicapped-infants,,democrat,5,"{'n': np.int64(62), 'y': np.int64(63)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras', 'handicapped-infants']",
62,38.0,superfund-right-to-sue,,democrat,6,"{'y': np.int64(99), 'n': np.int64(100), '?': np.int64(101)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `aid-to-nicaraguan-contras`=='n' & `handicapped-infants`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras', 'handicapped-infants', 'superfund-right-to-sue']",
63,38.0,mx-missile,,democrat,6,"{'n': np.int64(102), 'y': np.int64(103)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `aid-to-nicaraguan-contras`=='n' & `handicapped-infants`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras', 'handicapped-infants', 'mx-missile']",
99,62.0,,,republican,7,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `aid-to-nicaraguan-contras`=='n' & `handicapped-infants`=='n' & `superfund-right-to-sue`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras', 'handicapped-infants', 'superfund-right-to-sue']",
100,62.0,,,democrat,7,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `aid-to-nicaraguan-contras`=='n' & `handicapped-infants`=='n' & `superfund-right-to-sue`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras', 'handicapped-infants', 'superfund-right-to-sue']",
101,62.0,,,democrat,7,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `aid-to-nicaraguan-contras`=='n' & `handicapped-infants`=='n' & `superfund-right-to-sue`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'aid-to-nicaraguan-contras', 'handicapped-infants', 'superfund-right-to-sue']",
